,date,open,high,low,close
181,2022-11-13 08:00:00,16774.99000000,16795.92000000,16606.05000000,16650.36000000
182,2022-11-13 09:00:00,16650.89000000,16675.07000000,16435.23000000,16538.58000000
183,2022-11-13 10:00:00,16538.58000000,16625.82000000,16508.01000000,16585.14000000
184,2022-11-13 11:00:00,16585.14000000,16728.12000000,16562.43000000,16659.23000000
185,2022-11-13 12:00:00,16659.23000000,16671.76000000,16590.10000000,16609.22000000
186,2022-11-13 13:00:00,16609.78000000,16707.08000000,16590.02000000,16669.53000000
187,2022-11-13 14:00:00,16669.53000000,16714.26000000,16616.92000000,16632.93000000
188,2022-11-13 15:00:00,16633.82000000,16652.36000000,16517.85000000,16580.79000000
189,2022-11-13 16:00:00,16579.49000000,16621.23000000,16485.32000000,16586.45000000
190,2022-11-13 17:00:00,16586.45000000,16591.96000000,16463.68000000,16551.89000000
191,2022-11-13 18:00:00,16551.44000000,16568.64000000,16461.16000000,16527.06000000
192,2022-11-13 19:00:00,16527.06000000,16579.58000000,16498.00000000,16554.60000000
193,2022-11-13 20:00:00,16553.35000000,16583.15000000,16461.80000000,16488.49000000
194,2022-11-13 21:00:00,16488.03000000,16559.70000000,16229.00000000,16390.67000000
195,2022-11-13 22:00:00,16391.66000000,16479.00000000,16338.78000000,16438.35000000
196,2022-11-13 23:00:00,16440.02000000,16448.99000000,16276.20000000,16329.85000000
197,2022-11-14 00:00:00,16331.78000000,16411.99000000,16100.00000000,16259.64000000
198,2022-11-14 01:00:00,16260.11000000,16303.55000000,16000.00000000,16090.87000000
199,2022-11-14 02:00:00,16090.87000000,16223.23000000,15911.61000000,16177.83000000
200,2022-11-14 03:00:00,16178.86000000,16218.63000000,16119.73000000,16139.79000000
201,2022-11-14 04:00:00,16140.66000000,16147.54000000,15853.66000000,15988.79000000
202,2022-11-14 05:00:00,15988.80000000,16009.99000000,15815.21000000,15863.31000000
203,2022-11-14 06:00:00,15863.25000000,16748.66000000,15847.54000000,16635.49000000
204,2022-11-14 07:00:00,16639.75000000,16889.97000000,16385.11000000,16824.78000000
205,2022-11-14 08:00:00,16822.96000000,16935.59000000,16713.75000000,16764.23000000
206,2022-11-14 09:00:00,16764.23000000,16796.99000000,16640.01000000,16752.98000000
207,2022-11-14 10:00:00,16752.99000000,16840.00000000,16709.42000000,16781.35000000
208,2022-11-14 11:00:00,16781.35000000,16886.53000000,16733.68000000,16749.80000000
209,2022-11-14 12:00:00,16748.75000000,16838.88000000,16666.50000000,16823.58000000
210,2022-11-14 13:00:00,16821.66000000,17190.00000000,16502.00000000,16729.90000000
211,2022-11-14 14:00:00,16729.90000000,16806.60000000,16425.67000000,16605.05000000
212,2022-11-14 15:00:00,16606.71000000,16677.00000000,16452.67000000,16595.84000000
213,2022-11-14 16:00:00,16593.77000000,16625.34000000,16356.71000000,16470.14000000
214,2022-11-14 17:00:00,16470.14000000,16619.80000000,16444.30000000,16582.52000000
215,2022-11-14 18:00:00,16582.52000000,16674.97000000,16532.06000000,16613.12000000
216,2022-11-14 19:00:00,16614.82000000,16633.27000000,16181.00000000,16258.21000000
217,2022-11-14 20:00:00,16258.21000000,16339.98000000,16191.58000000,16274.83000000
218,2022-11-14 21:00:00,16276.51000000,16419.99000000,16261.81000000,16406.43000000
219,2022-11-14 22:00:00,16407.87000000,16455.70000000,16355.98000000,16410.56000000
220,2022-11-14 23:00:00,16412.36000000,16765.00000000,16405.00000000,16619.46000000
221,2022-11-15 00:00:00,16617.72000000,16682.09000000,16535.00000000,16565.14000000
222,2022-11-15 01:00:00,16564.16000000,16809.00000000,16527.72000000,16716.70000000
223,2022-11-15 02:00:00,16716.70000000,16806.16000000,16683.00000000,16765.91000000
224,2022-11-15 03:00:00,16765.92000000,16894.56000000,16764.11000000,16823.06000000
225,2022-11-15 04:00:00,16823.06000000,16857.85000000,16756.34000000,16768.84000000
226,2022-11-15 05:00:00,16768.12000000,16799.21000000,16638.59000000,16657.75000000
227,2022-11-15 06:00:00,16657.74000000,16758.85000000,16651.85000000,16750.37000000
